entity,cycles,instructions,cache_misses,time_ns,original_data
1,600,900,0,300,"./generate_clean_datasets.rs,rust_const,6,"const PRIMES: [u64; 20] = [2,3,5,7,11,13,17,19,23,29,31,37,41,43,47,53,59,61,67,71];""
2,700,1050,1,350,"./enrich_files_monster.rs,rust_const,6,"const MONSTER_PRIMES: [u64; 20] = [""
3,800,1200,1,400,"./elf_complexity_23.rs,rust_const,3,"const PARSE_HEADER_COMPLEXITY: u32 = 7;""
4,900,1350,1,450,"./elf_complexity_23.rs,rust_const,4,"const READ_SECTIONS_COMPLEXITY: u32 = 11;""
5,1000,1500,1,500,"./elf_complexity_23.rs,rust_const,5,"const EXTRACT_SYMBOLS_COMPLEXITY: u32 = 5;""
6,1100,1650,1,550,"./elf_complexity_23.rs,rust_const,7,"const ELF_COMPLEXITY: u32 = ""
7,1200,1800,1,600,"./shard_all_files.rs,rust_const,6,"const MONSTER_PRIMES: [u64; 20] = [""
8,1300,1950,1,650,"./hecke_shard.rs,rust_const,6,"const MONSTER_PRIMES: [u64; 20] = [""
9,1400,2100,2,700,"./zk_rdfa_urls.rs,rust_const,7,"const MONSTER_PRIMES: [u64; 20] = [""
10,1500,2250,2,750,"./repos/coq-of-rust/examples/ink_contracts/multisig.rs,rust_const,44,"const MAX_OWNERS: u32 = 50;""
11,1600,2400,2,800,"./repos/coq-of-rust/examples/ink_contracts/multisig.rs,rust_const,47,"const WRONG_TRANSACTION_ID: &str = "The user specified an invalid transaction id. Abort.";""
12,1700,2550,2,850,"./repos/coq-of-rust/examples/ink_contracts/erc1155.rs,rust_const,55,"const ON_ERC_1155_RECEIVED_SELECTOR: [u8; 4] = [0xF2, 0x3A, 0x6E, 0x61];""
13,1800,2700,2,900,"./repos/coq-of-rust/examples/ink_contracts/erc1155.rs,rust_const,63,"const _ON_ERC_1155_BATCH_RECEIVED_SELECTOR: [u8; 4] = [0xBC, 0x19, 0x7C, 0x81];""
14,1900,2850,2,950,"./repos/coq-of-rust/examples/custom/hello_world.rs,rust_const,1,"const message: &str = "Hello, World!";""
15,2000,3000,3,1000,"./repos/coq-of-rust/examples/rust_book/custom_types/constants.rs,rust_const,3,"const THRESHOLD: i32 = 10;""
16,2100,3150,3,1050,"./repos/coq-of-rust/examples/rust_book/std_misc/threads.rs,rust_const,3,"const NTHREADS: u32 = 10;""
17,2200,3300,3,1100,"./repos/coq-of-rust/examples/rust_book/expressions/const_underscore_expression.rs,rust_const,1,"const _: () = {""
18,2300,3450,3,1150,"./repos/coq-of-rust/examples/rust_book/expressions/const_underscore_expression.rs,rust_const,15,"const _: () = {""
19,2400,3600,3,1200,"./repos/coq-of-rust/lib/src/top_level.rs,rust_const,1208,"const LINE_WIDTH: usize = 100;""
20,2500,3750,3,1250,"./repos/coq-of-rust/RocqOfRust/alloy_primitives/utils/units.rs,rust_const,5,"const MAX_U64_EXPONENT: u8 = 19;""
21,2600,3900,3,1300,"./repos/coq-of-rust/RocqOfRust/alloy_primitives/bits/bloom.rs,rust_const,15,"const MASK: usize = BLOOM_SIZE_BITS - 1;""
22,2700,4050,4,1350,"./repos/coq-of-rust/RocqOfRust/alloy_primitives/bits/bloom.rs,rust_const,17,"const ITEM_BYTES: usize = (BLOOM_SIZE_BITS.ilog2() as usize + 7) / 8;""
23,2800,4200,4,1400,"./repos/coq-of-rust/RocqOfRust/alloy_primitives/bits/bloom.rs,rust_const,21,"const _: () = assert!(BLOOM_SIZE_BYTES.is_power_of_two());""
24,2900,4350,4,1450,"./repos/coq-of-rust/RocqOfRust/alloy_primitives/postgres.rs,rust_const,41,"const fn rem_up(a: usize, b: usize) -> usize {""
25,3000,4500,4,1500,"./repos/coq-of-rust/RocqOfRust/alloy_primitives/signature/sig.rs,rust_const,12,"const SECP256K1N_ORDER: U256 =""
26,3100,4650,4,1550,"./repos/coq-of-rust/RocqOfRust/alloy_primitives/signature/utils.rs,rust_const,34,"const fn is_valid_v(v: u64) -> bool {""
27,3200,4800,4,1600,"./repos/coq-of-rust/RocqOfRust/alloy_primitives/signature/primitive_sig.rs,rust_const,8,"const SECP256K1N_ORDER: U256 =""
28,3300,4950,4,1650,"./repos/coq-of-rust/RocqOfRust/move_sui/translations/move_core_types/identifier.rs,rust_const,49,"const fn all_bytes_valid(b: &[u8], start_offset: usize) -> bool {""
29,3400,5100,5,1700,"./repos/coq-of-rust/RocqOfRust/move_sui/translations/move_core_types/identifier.rs,rust_const,268,"const _: fn() = || {""
30,3500,5250,5,1750,"./repos/coq-of-rust/RocqOfRust/move_sui/translations/move_core_types/u256.rs,rust_const,29,"const NUM_BITS_PER_BYTE: usize = 8;""
31,3600,5400,5,1800,"./repos/coq-of-rust/RocqOfRust/move_sui/translations/move_core_types/u256.rs,rust_const,30,"const U256_NUM_BITS: usize = 256;""
32,3700,5550,5,1850,"./repos/coq-of-rust/RocqOfRust/move_sui/translations/move_binary_format/control_flow_graph.rs,rust_const,80,"const ENTRY_BLOCK_ID: BlockId = 0;""
33,3800,5700,5,1900,"./repos/coq-of-rust/RocqOfRust/move_sui/translations/move_bytecode_verifier/absint.rs,rust_const,57,"const ANALYZE_FUNCTION_BASE_COST: u128 = 10;""
34,3900,5850,5,1950,"./repos/coq-of-rust/RocqOfRust/move_sui/translations/move_bytecode_verifier/absint.rs,rust_const,58,"const EXECUTE_BLOCK_BASE_COST: u128 = 10;""
